"","year","dem_2p","district","state"
"274",2020,0.418387186371632,"5","FL"
"275",2018,0.407954519131813,"5","FL"
"276",2016,0.382888805700019,"5","FL"
"277",2020,0.381547630202965,"6","FL"
"278",2018,0.395104072333659,"6","FL"
"279",2016,0.380965982944935,"6","FL"
"280",2020,0.478155148457286,"7","FL"
"281",2018,0.481946769059105,"7","FL"
"282",2016,0.465052590977198,"7","FL"
"283",2020,0.41132919046316,"8","FL"
"284",2018,0.409054288016182,"8","FL"
"285",2016,0.392190238061885,"8","FL"
"286",2020,0.585015546331224,"9","FL"
"287",2018,0.615718828921523,"9","FL"
"288",2016,0.635854542557852,"9","FL"
"289",2020,0.664384011561073,"10","FL"
"290",2018,0.678304509357328,"10","FL"
"291",2016,0.672668363628037,"10","FL"
"292",2020,0.441461326379125,"11","FL"
"293",2018,0.425077446948394,"11","FL"
"294",2016,0.418160670186785,"11","FL"
"295",2020,0.352244589588614,"12","FL"
"296",2018,0.372565999035569,"12","FL"
"297",2016,0.349742466933472,"12","FL"
"298",2020,0.462380062989819,"13","FL"
"299",2018,0.475354624096977,"13","FL"
"300",2016,0.455123750183062,"13","FL"
"301",2020,0.598282408294657,"14","FL"
"302",2018,0.62072596102158,"14","FL"
"303",2016,0.617396071143259,"14","FL"
"304",2020,0.484074066045011,"15","FL"
"305",2018,0.494907537684221,"15","FL"
"306",2016,0.478775106124469,"15","FL"
"307",2020,0.454662186852897,"16","FL"
"308",2018,0.450112172566698,"16","FL"
"309",2016,0.433147992394367,"16","FL"
"310",2020,0.41846670812873,"17","FL"
"311",2018,0.424537150564002,"17","FL"
"312",2016,0.412472508702637,"17","FL"
"313",2020,0.383803724906635,"18","FL"
"314",2018,0.389301402263896,"18","FL"
"315",2016,0.38861281067947,"18","FL"
"316",2020,0.387716460301013,"19","FL"
"317",2018,0.364753801473833,"19","FL"
"318",2016,0.372700762332793,"19","FL"
"319",2020,0.763601809650347,"20","FL"
"320",2018,0.805043219977234,"20","FL"
"321",2016,0.793010939198409,"20","FL"
"322",2020,0.452015429740229,"21","FL"
"323",2018,0.464381894650803,"21","FL"
"324",2016,0.446146202547456,"21","FL"
"325",2020,0.589601453235688,"22","FL"
"326",2018,0.614372027606508,"22","FL"
"327",2016,0.60483875968031,"22","FL"
"328",2020,0.561674436674437,"23","FL"
"329",2018,0.577497182024161,"23","FL"
"330",2016,0.568668473629154,"23","FL"
"331",2020,0.743709463218247,"24","FL"
"332",2018,0.816779952892594,"24","FL"
"333",2016,0.820714829792793,"24","FL"
"334",2020,0.596895883317745,"25","FL"
"335",2018,0.637336066650897,"25","FL"
"336",2016,0.643542064335951,"25","FL"
"337",2020,0.395639463285609,"26","FL"
"338",2018,0.440651650874575,"26","FL"
"339",2016,0.511825592620401,"26","FL"
"340",2020,0.49603222246997,"27","FL"
"341",2018,0.533330917028106,"27","FL"
"342",2016,0.585351491882027,"27","FL"
"343",2020,0.467924143304107,"28","FL"
"344",2018,0.530012389256411,"28","FL"
"345",2016,0.579059424495458,"28","FL"
"346",2020,0.432536379725308,"1","GA"
"347",2018,0.424904741328515,"1","GA"
"348",2016,0.415208243946134,"1","GA"
"349",2020,0.556030128430827,"2","GA"
"350",2018,0.555366941691998,"2","GA"
"351",2016,0.551457497010791,"2","GA"
"352",2020,0.345995986379309,"3","GA"
"353",2018,0.327601613171744,"3","GA"
"354",2016,0.316231567773562,"3","GA"
"355",2020,0.795950282775451,"4","GA"
"356",2018,0.792688586252979,"4","GA"
"357",2016,0.773448564496134,"4","GA"
"358",2020,0.836948581688814,"5","GA"
"359",2018,0.842555201479579,"5","GA"
"360",2016,0.836165908285878,"5","GA"
"361",2020,0.418129713577653,"6","GA"
"362",2018,0.380161075536443,"6","GA"
"363",2016,0.352940396121038,"6","GA"
"364",2020,0.632688922419213,"7","GA"
"365",2018,0.613923224411537,"7","GA"
"366",2016,0.574953617057555,"7","GA"
"367",2020,0.359973038738262,"8","GA"
"368",2018,0.34263186391734,"8","GA"
"369",2016,0.342865069823361,"8","GA"
"370",2020,0.306255070470952,"9","GA"
"371",2018,0.280482457742928,"9","GA"
"372",2016,0.263644465441895,"9","GA"
"373",2020,0.378484487265012,"10","GA"
"374",2018,0.362415357766143,"10","GA"
"375",2016,0.34857378879683,"10","GA"
"376",2020,0.407861185933462,"11","GA"
"377",2018,0.386406701154957,"11","GA"
"378",2016,0.35592298847619,"11","GA"
"379",2020,0.448950670028969,"12","GA"
"380",2018,0.432184382170203,"12","GA"
"381",2016,0.432632571159257,"12","GA"
"382",2020,0.808964201243724,"13","GA"
"383",2018,0.815818384300506,"13","GA"
"384",2016,0.783925205171659,"13","GA"
"385",2020,0.30763314747164,"14","GA"
